timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,6.3,0,nan,nan,0.1775,0.16525,0.16325,0.161,0.16275,0.17025,152.5,0.0
8000,25.7,4,-367.69813568055724,-24540.70210718557,0.1975,0.13825,0.13325,0.191,0.19175,0.14825,153.75,0.0
12000,53.7,0,nan,nan,0.1735,0.11725,0.1195,0.21425,0.23875,0.13675,153.25,0.0
16000,68.0,4,-192.8614593849088,-12782.277389041614,0.1535,0.1025,0.1065,0.21075,0.27375,0.153,133.5,0.0
20000,97.1,0,nan,nan,0.19175,0.111,0.084,0.206,0.25025,0.157,125.0,0.0
24000,124.9,4,-119.58937456627791,-7781.716731862951,0.14075,0.087,0.09875,0.235,0.27775,0.16075,128.75,0.25
28000,151.3,0,nan,nan,0.1255,0.08975,0.118,0.2435,0.23325,0.19,134.5,0.5
32000,167.6,4,-65.96303357720535,-4222.73916001746,0.1125,0.088,0.09275,0.2485,0.242,0.21625,118.25,0.25
36000,189.8,0,nan,nan,0.116,0.09475,0.092,0.217,0.2465,0.23375,115.75,0.0
40000,215.0,4,163.66472208667255,11079.136499968503,0.10075,0.0995,0.097,0.21675,0.219,0.267,139.0,0.0
44000,242.6,0,nan,nan,0.109,0.10725,0.10325,0.20875,0.2155,0.25625,164.0,0.0
48000,270.5,4,492.80185907705527,33122.18424918922,0.12425,0.11425,0.1205,0.22375,0.194,0.22325,207.0,0.0
52000,297.7,0,nan,nan,0.12725,0.14025,0.14925,0.1985,0.17,0.21475,266.0,0.0
56000,326.8,4,958.7779829468946,64363.379658490405,0.1115,0.18725,0.16725,0.158,0.1765,0.1995,332.5,0.25
60000,354.4,0,nan,nan,0.0795,0.21525,0.2165,0.1675,0.13025,0.191,411.5,0.25
64000,381.0,4,1538.220941155625,103182.38299600326,0.0595,0.24225,0.24925,0.1315,0.1375,0.18,473.75,0.0
68000,403.7,0,nan,nan,0.0575,0.28325,0.266,0.1085,0.13575,0.149,532.5,0.25
72000,427.2,4,1988.6929450384978,133382.11209700373,0.04225,0.31125,0.31925,0.10775,0.09175,0.12775,610.25,0.0
76000,451.8,0,nan,nan,0.05075,0.30275,0.311,0.11125,0.081,0.14325,597.25,0.0
80000,470.2,4,2255.221904666065,153113.71116295562,0.03075,0.33225,0.319,0.0935,0.08725,0.13725,635.5,0.0
84000,494.8,0,nan,nan,0.02575,0.34025,0.334,0.08775,0.07975,0.1325,656.25,0.0
88000,519.5,4,2538.853515802857,170236.6982174549,0.0175,0.366,0.374,0.05425,0.0865,0.10175,725.75,0.0
92000,544.2,0,nan,nan,0.01725,0.36425,0.37,0.074,0.06675,0.10775,722.75,0.0
96000,571.5,4,2703.4155197958735,181267.635318487,0.01675,0.3795,0.3805,0.06425,0.064,0.095,746.0,0.0
100000,600.3,0,nan,nan,0.00875,0.39125,0.384,0.05025,0.07,0.09575,762.0,0.25
104000,624.2,4,2851.8360940918883,191214.25760667492,0.00925,0.39425,0.395,0.0525,0.06875,0.08025,780.0,0.0
