timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,4.0,0,nan,nan,0.16475,0.166,0.16975,0.16025,0.1705,0.16875,178.25,0.5
8000,12.6,4,-329.5629728147178,-22180.23831057432,0.186,0.1525,0.143,0.1825,0.1785,0.1575,173.5,0.0
12000,21.2,0,nan,nan,0.18525,0.1255,0.1285,0.176,0.19525,0.1895,138.75,0.0
16000,30.4,4,-153.39364231997752,-9333.829904580001,0.21075,0.12375,0.10825,0.14775,0.23575,0.17375,154.75,0.0
20000,40.6,0,nan,nan,0.24625,0.16425,0.098,0.11925,0.21725,0.155,187.75,0.0
24000,50.6,4,54.417866933945334,8476.556277657626,0.22225,0.1875,0.0805,0.102,0.2395,0.16825,206.0,0.0
28000,60.6,0,nan,nan,0.19775,0.119,0.106,0.1265,0.26875,0.182,178.25,0.0
32000,70.5,4,330.11248652721406,26362.245894481428,0.1515,0.123,0.158,0.143,0.2275,0.197,241.5,0.0
36000,80.3,0,nan,nan,0.16425,0.14725,0.20575,0.1235,0.2015,0.15775,319.75,0.0
40000,90.2,4,732.5406543652352,55909.40492687571,0.13325,0.172,0.27025,0.11875,0.166,0.13975,410.75,0.0
44000,99.9,0,nan,nan,0.12525,0.247,0.2145,0.09525,0.18325,0.13475,435.75,0.0
48000,109.8,4,1156.9535267809406,85516.76844621194,0.09425,0.24,0.317,0.091,0.1355,0.12225,530.0,0.25
52000,119.8,0,nan,nan,0.0665,0.19875,0.48125,0.07675,0.092,0.08475,665.0,0.0
56000,129.7,4,1371.9838996697508,101084.5568677244,0.066,0.29525,0.37275,0.05625,0.10975,0.1,648.0,0.0
60000,139.7,0,nan,nan,0.055,0.3715,0.3575,0.04425,0.08975,0.082,711.25,0.25
64000,149.6,4,2351.288689926878,169673.09775405913,0.04425,0.4185,0.351,0.0405,0.079,0.06675,758.75,0.0
68000,159.4,0,nan,nan,0.03975,0.388,0.396,0.044,0.05925,0.073,770.5,0.0
72000,169.3,4,2332.706695424102,171251.68470917043,0.0235,0.45125,0.38925,0.03425,0.04975,0.052,830.5,0.0
76000,179.1,0,nan,nan,0.0215,0.388,0.4595,0.0385,0.0435,0.049,836.25,0.0
80000,189.0,4,2390.6039818738354,172909.91975481692,0.027,0.49,0.35025,0.0295,0.04875,0.0545,827.5,0.0
84000,199.0,0,nan,nan,0.026,0.46775,0.36225,0.04325,0.04125,0.0595,818.0,0.0
88000,208.9,4,2405.390231689875,173732.25954321574,0.02175,0.4325,0.3925,0.0455,0.03775,0.07,811.0,0.0
92000,218.8,0,nan,nan,0.01725,0.39825,0.4625,0.039,0.02725,0.05575,849.0,0.0
96000,227.3,4,2575.9091368054505,185884.64814858756,0.011,0.385,0.49275,0.03275,0.02875,0.04975,864.0,0.0
100000,231.6,0,nan,nan,0.01025,0.464,0.41275,0.03175,0.0315,0.04975,867.0,0.0
104000,236.3,4,2880.382102680771,206974.52139447158,0.01175,0.469,0.41,0.02625,0.03325,0.04975,870.5,0.0
108000,241.0,0,nan,nan,0.0075,0.29975,0.58225,0.03925,0.02275,0.0485,874.75,0.0
112000,245.5,4,2504.9188490974775,180948.47722120536,0.0085,0.4815,0.417,0.0255,0.02525,0.04225,889.75,0.0
116000,249.9,0,nan,nan,0.00525,0.427,0.471,0.02075,0.03225,0.04375,890.0,0.0
120000,254.4,4,3044.1500804214447,218698.6255283966,0.0045,0.46025,0.42825,0.02475,0.03375,0.0485,877.25,0.0
124000,259.4,0,nan,nan,0.004,0.40225,0.49725,0.027,0.02725,0.04225,893.75,0.0
128000,263.6,4,2847.643969524186,204828.749920125,0.00325,0.46475,0.4165,0.0285,0.03575,0.05125,878.25,0.25
132000,268.1,0,nan,nan,0.0045,0.4435,0.43525,0.03325,0.03,0.0535,873.75,0.0
136000,272.8,4,2935.68080392119,210477.0898008621,0.003,0.4435,0.4335,0.037,0.0285,0.0545,870.75,0.0
140000,277.2,0,nan,nan,0.0015,0.45875,0.4455,0.023,0.02825,0.043,897.5,0.25
144000,281.6,4,3096.1735981548554,222236.62777433833,0.00175,0.462,0.43525,0.02275,0.03025,0.048,891.5,0.0
148000,286.4,0,nan,nan,0.00225,0.4755,0.41825,0.03,0.0245,0.0495,887.0,0.25
152000,291.1,4,2891.093221090792,207615.5888285709,0.0025,0.46825,0.43575,0.02725,0.0225,0.04375,899.5,0.0
156000,295.8,0,nan,nan,0.00225,0.46825,0.45525,0.02125,0.0175,0.0355,920.5,0.0
160000,300.4,4,2847.293508101633,204723.54850850668,0.00125,0.44325,0.47525,0.0195,0.0235,0.03725,914.25,0.0
164000,305.3,0,nan,nan,0.00075,0.45725,0.467,0.0175,0.023,0.0345,922.25,0.0
168000,309.6,4,3354.685853032948,240512.77354333887,0.001,0.43825,0.499,0.01625,0.01625,0.02925,934.5,0.0
172000,314.1,0,nan,nan,0.00225,0.5295,0.393,0.0155,0.0235,0.03625,912.25,0.0
176000,318.7,4,3142.9468409967376,283979.02284600306,0.005,0.467,0.43775,0.0195,0.0275,0.04325,896.0,0.25
180000,323.0,0,nan,nan,0.00225,0.45075,0.43825,0.03,0.028,0.05075,884.25,0.0
184000,327.7,4,3260.273882187961,233255.6172192495,0.001,0.45325,0.46175,0.023,0.02075,0.04025,914.75,0.0
188000,332.2,0,nan,nan,0.0035,0.43925,0.464,0.03375,0.019,0.0405,901.25,0.25
192000,337.4,4,3292.644202440628,235920.30546656996,0.00375,0.45675,0.474,0.02,0.014,0.0315,929.25,0.0
196000,342.5,0,nan,nan,0.00275,0.46575,0.47,0.017,0.016,0.0285,934.5,0.0
200000,347.7,4,3500.893608885148,250691.03221067507,0.0015,0.472,0.469,0.01725,0.013,0.02725,939.5,0.0
204000,352.3,0,nan,nan,0.00075,0.477,0.46125,0.0155,0.016,0.0295,937.0,0.0
208000,357.3,4,3273.6733956771204,234545.86553080042,0.00025,0.47525,0.4705,0.0155,0.012,0.0265,940.25,0.0
212000,362.2,0,nan,nan,0.00025,0.50675,0.43575,0.01375,0.01575,0.02775,939.0,0.0
216000,367.3,4,3259.353156595811,316218.6701430682,0.00025,0.463,0.46425,0.01625,0.02075,0.0355,922.25,0.0
220000,372.0,0,nan,nan,0.0,0.454,0.47825,0.016,0.0185,0.03325,931.0,0.0
224000,376.6,4,3310.6854221163667,237240.7434652967,0.0,0.44975,0.492,0.015,0.015,0.02825,937.5,0.0
228000,382.0,0,nan,nan,0.00025,0.46575,0.478,0.0135,0.01525,0.02725,941.0,0.0
232000,386.6,4,3222.1225379598036,230949.0156759913,0.0,0.44425,0.5035,0.01125,0.01575,0.02525,939.5,0.25
236000,391.3,0,nan,nan,0.0,0.514,0.42725,0.01475,0.01525,0.02875,939.5,0.0
240000,396.0,4,3215.9394803336763,230541.18771469104,0.0,0.4715,0.4655,0.01475,0.01625,0.032,935.75,0.0
244000,401.8,0,nan,nan,0.0,0.4445,0.4985,0.01525,0.01425,0.0275,937.5,0.0
248000,407.5,4,3315.272829512978,237643.44893601842,0.0,0.47625,0.47125,0.015,0.01175,0.02575,943.25,0.0
252000,413.3,0,nan,nan,0.0,0.4685,0.471,0.01725,0.0135,0.02975,934.0,0.0
256000,419.4,4,3305.0641947718686,236690.5660847872,0.0,0.4795,0.45625,0.016,0.0165,0.03175,933.25,0.0
260000,425.5,0,nan,nan,0.0,0.493,0.4535,0.01425,0.01275,0.0265,940.0,0.0
264000,430.6,4,3361.241845077253,240744.16207927658,0.0005,0.47475,0.47,0.01375,0.0145,0.0265,939.0,0.0
268000,434.8,0,nan,nan,0.00025,0.468,0.481,0.01375,0.013,0.024,945.5,0.0
272000,439.2,4,3361.8546892779996,240720.6854396048,0.0005,0.47625,0.46625,0.01475,0.01425,0.028,938.25,0.0
276000,444.6,0,nan,nan,0.00025,0.45275,0.50825,0.011,0.009,0.01875,958.5,0.0
280000,449.7,4,3386.8778620021767,243034.5877557171,0.00025,0.478,0.481,0.011,0.01,0.01975,953.5,0.0
284000,455.0,0,nan,nan,0.0005,0.48725,0.46375,0.01275,0.01225,0.0235,945.5,0.0
288000,460.8,4,3388.1106859799474,242708.75611216016,0.0,0.47225,0.47975,0.01275,0.012,0.02325,949.0,0.75
292000,465.3,0,nan,nan,0.0,0.461,0.4885,0.01275,0.01275,0.025,946.5,0.0
296000,469.0,4,3398.7541077078786,243325.31476194298,0.0,0.49625,0.45125,0.013,0.0135,0.026,943.5,0.0
300000,473.9,0,nan,nan,0.0,0.47625,0.4725,0.01325,0.013,0.025,946.25,0.0
304000,478.9,4,3188.8890429951134,228979.44085929095,0.0005,0.56575,0.40725,0.00625,0.007,0.01325,964.0,0.0
308000,483.7,0,nan,nan,0.0005,0.4145,0.5395,0.0125,0.01225,0.02075,951.75,0.0
312000,488.4,4,3193.2800206956745,228940.26481255103,0.0,0.4735,0.4585,0.017,0.01775,0.03325,931.0,0.0
316000,493.1,0,nan,nan,0.0,0.4685,0.47575,0.01425,0.01425,0.02725,943.0,0.0
320000,497.3,4,3510.0499816812808,251040.99993622774,0.0,0.47775,0.4705,0.013,0.01275,0.026,948.0,0.0
324000,501.0,0,nan,nan,0.0005,0.47525,0.4705,0.0145,0.01325,0.026,945.75,0.0
328000,505.7,4,3472.805900480307,248672.82470287767,0.0005,0.46175,0.49625,0.01075,0.01,0.02075,957.25,0.0
332000,510.8,0,nan,nan,0.00025,0.478,0.4755,0.01275,0.01075,0.02275,944.75,0.0
336000,515.7,4,3280.6046407695976,236078.41270319954,0.00025,0.4835,0.46225,0.014,0.01325,0.02675,941.5,0.0
340000,520.2,0,nan,nan,0.0,0.47425,0.472,0.013,0.01425,0.0265,944.5,0.0
344000,525.1,4,3517.7386087347986,251700.43918035182,0.0,0.4755,0.47175,0.0135,0.0125,0.02675,947.25,0.0
348000,529.0,0,nan,nan,0.0,0.47225,0.4785,0.013,0.01175,0.0245,949.75,0.0
352000,533.8,4,3394.277030801284,314246.82326316414,0.00025,0.46675,0.46175,0.02425,0.02125,0.02575,926.5,0.0
356000,538.6,0,nan,nan,0.0,0.489,0.45575,0.01575,0.0165,0.023,938.75,0.25
360000,543.2,4,3339.3532408134197,289049.5759410524,0.0,0.48675,0.449,0.022,0.01675,0.0255,933.0,0.0
364000,547.6,0,nan,nan,0.0,0.4705,0.4695,0.018,0.01625,0.02575,937.75,0.0
368000,552.2,4,3423.450948254671,245104.56329787686,0.0,0.48775,0.47225,0.011,0.01025,0.01875,956.5,0.0
372000,556.5,0,nan,nan,0.00025,0.48275,0.4635,0.016,0.01725,0.02025,941.75,0.0
376000,560.1,4,3418.0395349900064,244680.43324436957,0.0,0.46775,0.47775,0.0145,0.015,0.025,945.5,0.0
380000,565.1,0,nan,nan,0.00025,0.488,0.46125,0.00925,0.01875,0.0225,949.25,0.0
384000,570.1,4,3276.8570221946575,235093.9235648583,0.00025,0.491,0.4675,0.00975,0.0115,0.02,956.5,0.0
388000,575.0,0,nan,nan,0.00025,0.48325,0.47325,0.0105,0.01175,0.021,952.5,0.0
392000,579.7,4,3480.5181295639486,249245.29625863887,0.0,0.47625,0.475,0.0115,0.013,0.02425,950.75,0.0
396000,584.7,0,nan,nan,0.0,0.484,0.472,0.011,0.012,0.021,955.25,0.0
400000,588.6,4,3403.5647675034124,243837.32461051125,0.0,0.48525,0.474,0.009,0.011,0.02075,954.75,0.0
404000,592.7,0,nan,nan,0.0,0.4805,0.468,0.0125,0.0135,0.0255,948.0,0.0
408000,597.7,4,3418.4755857412238,244768.9560411796,0.00025,0.48225,0.47575,0.01025,0.01075,0.02075,957.25,0.0
412000,602.1,0,nan,nan,0.0,0.47675,0.47825,0.01025,0.01275,0.022,947.0,0.0
416000,606.5,4,3309.9621739828726,237113.51155116135,0.00025,0.48175,0.467,0.012,0.014,0.025,947.5,0.0
420000,611.1,0,nan,nan,0.0,0.47575,0.47875,0.01225,0.011,0.02225,952.25,0.0
424000,615.8,4,3488.7361194692785,249818.83346622722,0.0,0.47825,0.47625,0.011,0.012,0.0225,950.5,0.0
428000,619.5,0,nan,nan,0.00025,0.473,0.48325,0.0115,0.01075,0.02125,953.0,0.0
432000,623.6,4,3572.5890001771622,326080.84872446454,0.0005,0.47075,0.4675,0.0165,0.01425,0.0305,936.5,0.0
436000,628.3,0,nan,nan,0.0,0.47725,0.47275,0.01375,0.012,0.02425,948.75,0.0
440000,633.2,4,3521.8703947308823,252027.34349934763,0.00025,0.47275,0.48375,0.01075,0.011,0.0215,954.25,0.0
444000,637.8,0,nan,nan,0.0,0.47575,0.47525,0.01225,0.0125,0.02425,949.75,0.0
448000,642.7,4,3337.835931008449,239155.38347873837,0.0,0.46975,0.491,0.0105,0.009,0.01975,955.0,0.0
452000,647.0,0,nan,nan,0.0,0.46625,0.49525,0.01,0.00975,0.01875,960.25,0.0
456000,650.6,4,3443.1850967751234,246747.17665275108,0.0,0.4685,0.4925,0.0095,0.01,0.0195,955.0,0.0
460000,655.1,0,nan,nan,0.0,0.475,0.47275,0.01275,0.01375,0.02575,947.0,0.0
464000,660.8,4,3363.523947960144,240602.87924376072,0.0,0.46675,0.47875,0.01475,0.01225,0.0275,945.0,0.0
468000,666.2,0,nan,nan,0.0,0.47425,0.47875,0.0125,0.01125,0.02325,952.75,0.0
472000,671.1,4,3499.8607940485235,250432.0018662187,0.00025,0.4755,0.4775,0.012,0.0115,0.02325,951.25,0.25
476000,675.8,0,nan,nan,0.0,0.4805,0.46525,0.01425,0.01325,0.02675,944.75,0.0
480000,679.7,4,3520.4693485954194,252063.69235609547,0.0,0.493,0.4675,0.01025,0.00975,0.0195,960.0,0.0
484000,684.8,0,nan,nan,0.0,0.46225,0.49025,0.01025,0.01375,0.0235,950.25,0.0
488000,690.4,4,3384.617166069569,242242.92389513506,0.0,0.47725,0.4745,0.01225,0.01175,0.02425,951.25,0.0
492000,696.1,0,nan,nan,0.0,0.46975,0.48875,0.01075,0.0105,0.02025,955.5,0.0
496000,701.2,4,3494.787094652478,250252.6417237413,0.0,0.4855,0.472,0.01075,0.0105,0.02125,956.75,0.0
500000,706.0,0,nan,nan,0.0,0.48975,0.46475,0.01225,0.011,0.02225,952.5,0.25
504000,710.0,4,3530.2733907603833,252688.83248220905,0.00025,0.46725,0.49075,0.01075,0.01,0.021,956.0,0.0
508000,716.1,0,nan,nan,0.0,0.49025,0.4715,0.00925,0.0105,0.0185,959.25,0.25
512000,721.9,4,3502.7705226916587,250859.2782943553,0.00025,0.47475,0.47825,0.01175,0.0115,0.0235,952.75,0.0
516000,727.9,0,nan,nan,0.0,0.537,0.4265,0.009,0.00975,0.01775,955.0,0.0
