timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,2.0,20,-41.81216983015766,-545.0214867954043,0.164,0.158,0.166,0.1725,0.1675,0.172,157.25,3.75
8000,6.3,20,-42.226692390471,-537.2861530247255,0.17775,0.1445,0.1525,0.192,0.148,0.18525,133.25,4.25
12000,10.7,20,-47.42229181958246,-504.9748491999968,0.1905,0.11075,0.1245,0.203,0.15975,0.2115,87.75,3.75
16000,15.2,20,-33.119907803740354,-395.2827717067332,0.1665,0.09175,0.11325,0.2,0.181,0.2475,76.75,4.5
20000,19.7,20,-34.06424809339224,-438.227732456486,0.1975,0.07875,0.09525,0.173,0.1905,0.265,61.25,4.25
24000,24.0,20,-14.55614655353711,-199.54180924223547,0.16975,0.068,0.07725,0.147,0.217,0.321,46.75,2.0
28000,28.4,20,-31.9514129639545,-387.30997472546426,0.16,0.07125,0.06175,0.17975,0.20225,0.325,43.5,1.75
32000,32.7,20,-25.926716788770864,-307.0968922724451,0.177,0.057,0.063,0.151,0.18125,0.37075,32.5,1.5
36000,37.2,20,-13.630649759003427,-154.3042524740671,0.1355,0.053,0.04975,0.1715,0.1685,0.42175,23.0,1.25
40000,41.5,20,-13.336825196800055,-143.08519160485866,0.147,0.0395,0.0385,0.142,0.17,0.463,14.0,1.5
44000,46.1,20,-7.985975974064786,-96.26211928835964,0.12225,0.0315,0.03775,0.12575,0.17225,0.5105,13.0,0.5
48000,50.5,20,-9.070185500459047,-101.55420429263668,0.11475,0.02875,0.027,0.11875,0.1835,0.52725,9.75,0.5
52000,56.1,20,-6.5969889660482295,-75.22632338502426,0.1175,0.018,0.0245,0.11975,0.185,0.53525,3.75,0.5
56000,60.6,20,-33.87052769063157,-364.0162171246802,0.1235,0.01725,0.023,0.13475,0.202,0.4995,5.25,2.25
60000,65.2,20,-7.899295180290937,-89.09738255722769,0.12525,0.0175,0.02725,0.16425,0.18725,0.4785,9.5,1.75
64000,69.8,20,-13.490028402319876,-161.05092058264944,0.12475,0.01575,0.02325,0.1585,0.20075,0.477,8.5,1.25
68000,74.4,20,-8.923055453697453,-91.12338300408028,0.1095,0.01125,0.01425,0.132,0.2325,0.5005,3.5,0.75
72000,80.1,20,-6.924234017869457,-81.95548308824655,0.0975,0.00975,0.01225,0.123,0.25725,0.50025,5.0,1.0
76000,85.6,20,-4.496900812681997,-48.20671529351603,0.09225,0.00475,0.0045,0.133,0.22375,0.54175,2.25,1.25
80000,90.7,20,-5.821088083775249,-61.06091347182464,0.0945,0.006,0.0075,0.10825,0.2565,0.52725,2.25,1.25
84000,95.7,20,4.309893535362789,46.70822230573067,0.101,0.00525,0.005,0.14775,0.26625,0.47475,2.25,1.75
88000,101.2,20,-1.3448636057495604,-18.26599201033496,0.12475,0.0085,0.007,0.1475,0.262,0.45025,5.5,1.5
92000,106.5,20,-18.343058247497538,-195.48468056924557,0.10525,0.00775,0.00675,0.139,0.281,0.46025,5.25,2.5
96000,112.8,20,-3.2449292072618845,-37.09996382219833,0.08975,0.00925,0.0055,0.15525,0.25275,0.4875,3.5,0.5
100000,117.8,20,1.2465013776905836,17.51644621475534,0.099,0.0035,0.005,0.141,0.24525,0.50625,1.5,1.25
104000,122.9,20,-2.040937097935239,-2.8593910907442477,0.0985,0.00425,0.00475,0.15925,0.262,0.47125,1.5,1.75
108000,127.8,20,-12.974274366162717,-132.85253823238492,0.08925,0.003,0.003,0.189,0.25925,0.4565,1.5,1.5
112000,132.8,20,-8.560070586926305,-98.26814315280626,0.093,0.00525,0.003,0.194,0.294,0.41075,2.25,2.0
116000,137.7,20,-4.669339557440253,-56.0306758960689,0.0795,0.0055,0.00325,0.17525,0.294,0.4425,2.0,0.75
120000,142.7,20,-3.357307962223422,-35.94216829776069,0.10675,0.008,0.00175,0.17725,0.31075,0.3955,4.0,1.0
124000,147.6,20,-28.299834386864678,-287.6260380367612,0.122,0.006,0.001,0.1715,0.31125,0.38825,2.25,2.25
128000,152.6,20,-8.433134936512214,-83.60368425175201,0.1405,0.00625,0.0015,0.19825,0.27325,0.38025,2.25,1.75
132000,157.6,20,-14.84057973374147,-166.5303849826696,0.13,0.00675,0.00125,0.228,0.2645,0.3695,3.75,2.25
136000,162.7,20,-25.541119118884673,-261.8651291840104,0.1515,0.00675,0.00175,0.239,0.25875,0.34225,3.25,1.75
140000,167.8,20,-3.2480239291558974,-32.57466978138564,0.156,0.0075,0.001,0.2805,0.22575,0.32925,3.0,1.0
144000,173.0,20,-4.58716646595858,-58.00560684202374,0.16,0.0045,0.0015,0.23525,0.26475,0.334,1.75,2.0
148000,178.1,20,-2.533037787792273,-29.461827883632942,0.1645,0.00825,0.00175,0.21025,0.29025,0.325,4.75,0.75
152000,183.4,20,-5.433191021293169,-44.20631120316284,0.13325,0.00675,0.001,0.22575,0.281,0.35225,1.25,2.75
156000,188.6,20,-8.51464748143917,-94.80352809827892,0.1625,0.0085,0.0015,0.21425,0.242,0.37125,2.0,1.5
160000,193.9,20,1.1103801256453152,16.012974721070897,0.12475,0.00525,0.0015,0.2035,0.24975,0.41525,2.75,0.5
164000,199.0,20,-0.1819906198361423,4.631177694834878,0.12875,0.00425,0.0005,0.197,0.23375,0.43575,1.5,1.0
168000,204.1,20,-9.22945583772962,-96.74835251975473,0.12075,0.0025,0.0025,0.19825,0.2495,0.4265,1.5,1.0
172000,209.3,20,-5.9139710974181074,-62.0097862963381,0.10325,0.0025,0.00225,0.19225,0.2505,0.44925,1.75,2.0
176000,214.5,20,-3.039336822740734,-42.188101792019005,0.09825,0.003,0.00225,0.22225,0.269,0.40525,0.5,2.5
180000,219.9,20,-2.0153334526577966,-19.21656623070776,0.10075,0.002,0.002,0.20325,0.25975,0.43225,0.75,2.5
184000,225.3,20,-0.7901269959344063,-7.732918191994213,0.11575,0.00225,0.00175,0.1695,0.2625,0.44825,0.75,1.0
188000,230.7,20,-8.185449596180115,-105.44916384311963,0.092,0.00275,0.0015,0.16275,0.22675,0.51425,0.75,1.0
192000,236.1,20,-8.909526820259634,-106.92802350837155,0.10225,0.00375,0.00225,0.16925,0.21275,0.50975,1.5,1.25
196000,241.5,20,-0.4732460811501369,-2.0872571920986958,0.105,0.00225,0.0035,0.1575,0.21525,0.5165,0.75,0.75
200000,247.0,20,-12.303902509796899,-125.22081390271123,0.1075,0.00025,0.00175,0.1625,0.20675,0.52125,0.25,1.25
204000,252.5,20,-13.037470824638149,-150.20065862430346,0.117,0.0015,0.00175,0.164,0.21325,0.5025,0.5,1.75
208000,258.0,20,-2.0743626451760067,-22.795400304271606,0.10175,0.0015,0.00225,0.15375,0.18825,0.5525,0.5,0.75
212000,263.6,20,-2.6328713409777267,-34.12866599233039,0.0955,0.00075,0.00125,0.18275,0.203,0.51675,0.0,0.25
216000,269.2,20,-6.964709447720088,-97.62926030300677,0.09825,0.001,0.00125,0.17575,0.18725,0.5365,0.0,1.5
220000,275.3,20,-3.7899585456529166,-43.07938752195132,0.106,0.00025,0.0015,0.1785,0.1655,0.54825,0.0,1.0
224000,281.5,20,-8.089349934167695,-77.47376799256782,0.084,0.0,0.00025,0.15725,0.185,0.5735,0.25,1.75
228000,287.4,20,0.609803658479359,6.608471829443988,0.09775,0.00025,0.00075,0.142,0.1605,0.59875,0.25,1.5
232000,293.3,20,-0.11264434389886446,0.6879419557844813,0.0895,0.001,0.0005,0.16525,0.15575,0.588,0.0,0.75
236000,299.3,20,0.3336422185704578,0.6621169615409599,0.09325,0.0,0.0005,0.1475,0.1375,0.62125,0.25,0.5
240000,305.6,20,-4.419637428125133,-51.68773404328276,0.11425,0.001,0.00125,0.15375,0.1385,0.59125,0.0,0.75
244000,311.7,20,-7.5941820172825825,-89.06035181295775,0.13075,0.0,0.00025,0.162,0.13875,0.56825,0.25,1.25
248000,318.0,20,-4.898489129915833,-41.586469907811264,0.15275,0.0,0.0,0.15375,0.13475,0.55875,0.0,1.0
252000,324.5,20,-3.9097268992336467,-46.85464222668306,0.15875,0.0,0.00025,0.1925,0.135,0.5135,0.0,0.75
256000,331.0,20,-4.932915051293094,-67.23268386728031,0.174,0.00025,0.0005,0.1665,0.13625,0.5225,0.0,0.5
260000,337.4,20,-7.194647903298028,-74.70163545427877,0.172,0.0005,0.00075,0.16625,0.1445,0.516,0.5,0.75
264000,343.6,20,-15.687355571665103,-165.5254266201717,0.1275,0.00025,0.00025,0.19875,0.1305,0.54275,0.0,2.0
268000,349.9,20,-2.5212137218215505,-34.67605592946347,0.124,0.0005,0.0005,0.19775,0.118,0.55925,0.25,0.5
272000,356.4,20,-8.157869784691139,-84.3317958918702,0.102,0.0005,0.00075,0.23025,0.10825,0.55825,0.25,1.0
276000,362.9,20,1.3617086043348536,16.380991093667944,0.10175,0.00075,0.00025,0.23725,0.0905,0.5695,0.0,0.25
280000,369.4,20,-0.77534881386091,-6.607366313870079,0.10525,0.0,0.00025,0.19825,0.09,0.60625,0.25,0.25
284000,376.0,20,-3.9946142583678013,-46.99630835638582,0.11425,0.0,0.0015,0.2005,0.0915,0.59225,1.0,0.5
